label;text
1;Татарстан и Россотрудничество: огромное поле для взаимодействия  Закончилась рабочая поездка главы Россотрудничества в Республику Татарстан. В последний день своего визита в Казань Евгений Примаков встретился с президентом Татарстана Рустамом Миннихановым и посетил Казанский федеральный университет. Рустам Минниханов принимал Евгения Примакова в Доме Правительства Республики Татарстан. Участники встречи обозначили шаги по развитию взаимодействия между Агентством и Республикой, а также обсудили проблемы гуманитарного сотрудничества и укрепления связей с соотечественниками в  условиях сложной эпидемиологической обстановки.  В ходе встречи Примаков отметил, что Россотрудничество всегда готово оказывать поддержку мероприятиям и проектам Республики Татарстан на своих площадках за рубежом на базе российских центров науки и культуры.  Во встрече участвовал Ирек Зиннуров, – в недавнем прошлом депутат Госдумы, а  ныне – глава представительства Россотрудничества в Азербайджане и руководитель Российского информационно-культурного центра в Баку.  Еще одна важная остановка на маршруте рабочей поездки – Казанский федеральный университет (КФУ), где Евгений Примаков встретился с ректором Ильшатом Гафуровым, а также проректорами и директорами университета. В КФУ проходят обучение более 10 тысяч иностранных студентов из 100 стран мира.  «Поле для взаимодействия Россотрудничества с КФУ огромное. Во-первых, самое очевидное – здесь большое количество иностранных студентов, которые обучаются по квотам. Есть необходимость обучать их русскому языку и лучше всего это делать находясь в той стране, откуда студенты приехали. Также организация презентаций вузов России входит в полномочия Агентства», – отметил Примаков.  В ходе встречи обсуждались возможные совместные проекты по продвижению русского языка, работа с выпускниками вуза, а также проведение совместных форумов и конференций.  #riccbaku #Rossotrudnichestvo #Азербайджан #РИКЦ #Баку #Россотрудничество #Россия
0;Таит во рту
0;Задержан молодой человек, распыливший баллончик в лицо росгвардейца на незаконной акции в Москве 31 января, он полностью признал вину
0;Повелитель драконов мультфильм (2020) Жанры: Мультфильмы, Мультфильм, 2020, Приключения, Семейный https://filmrus.xyz/multfilmy/39781-povelitel-drakonov-dragon-rider-2020-smotret-onlajn.html  Описание:  Когда-то драконы властвовали на Земле, но в наши дни их можно встретить только в кино. Однако молодой дракон, пробираясь сквозь небоскребы мегаполисов и уклоняясь от взоров вечно спешащих людей, мечта...
0;В новую кофейню проводится набор активных и молодых людей на должность бариста. — 25 000 р.  Доброго времени суток! Нам нужны шустрые и обаятельные продавцы-бариста в нашу кофейню. Опыт работы не обязателен. Находимся по адресу Океанский пр., 17  Обя...   Подробности и контакты по ссылке 👉 http://vladivostok.rabota.fm/v-novyyu-kofejnyu-provoditsya-nabor-aktivnyx-i-molodyx-lyudej-na-dolzhnost-barista_i6879
1;Смартфон, находясь даже непродолжительное время в руках мошенников, может быть взломан в течение нескольких минут. Поэтому передавать телефон для звонка незнакомым людям опасно, заявил доцент кафедры «Интеллектуальные системы информационной безопасности» РТУ МИРЭА Евгений Кашкин https://www.if24.ru/spetsialist-obyasnil-pochemu-neznakomtsam-nelzya-davat-zvonit-s-telefona/
0;3 февраля в 8 Г классе МАОУ СОШ№4 им. М. С. Сахненко (классный руководитель Д.В.Тарасова) проведён Урок Мужества Они сражались за Кубань в рамках Всероссийской акции «Бескозырка - 2021». Классный руководитель рассказала учащимся о том, что акция берет свое начало в 1968 году, когда молодежь Новороссийска, комсомольцы, участники патриотического движения «Шхуна ровесников» прошли с самодельными факелами от площади Героев до Малой земли, чтобы почтить подвиг защитников плацдарма. Ребята познакомились с историей ожесточенных боев, которые продолжались 225 дней и ночей. После почтили память минутой молчания и посвятили строки благодарности героям - защитникам... #месячникВПРсош4  #бескозырка
0;Нарисуй папу! МКДЦ «Планета молодых» приглашает участвовать в выставке ко Дню защитника Отечества  Ко Дню защитника Отечества молодёжном культурно-досуговом центре «Планета молодых» (ул. Озёрная, д. 4/9) открылась выставка детских рисунков «Мой папа – герой». На ней представлены работы участников студий изобразительного искусства «Палитра» и «Art-Place».
0;В эфире программы «Образовательная среда» поговорим о том, что означает звание «Учитель года России»  3 февраля в 15:00 по московскому времени на федеральном портале «Российское образование» состоится прямой эфир нового выпуска еженедельной онлайн-программы «Образовательная среда».  Тема этого выпуска – «Всероссийский конкурс «Учитель года России – 2020». Послесловие».  У зрителей и слушателей онлайн-программы будет уникальная возможность задать вопросы победителю Всероссийского конкурса «Учитель года России – 2020» Михаилу Гурову, а также из первых уст узнать о том, как проходил в Волгограде финал самого значимого для педагогического сообщества профессионального конкурса. Разговор пойдет и о том, как работают сегодня самые творческие педагоги страны, как меняется подготовка молодых учителей, какие еще сервисы нужны для того, чтобы опыт успешных педагогов можно было транслировать коллегам.  Эксперты программы:  Михаил Гуров, победитель Всероссийского конкурса «Учитель года России – 2020», учитель математики Лицея классического элитарного образования города Ростова-на-Дону (Ростовская область)  Диана Минец, призер Всероссийского конкурса «Учитель года России – 2020», учитель русского языка и литературы Женской гуманитарной гимназии города Череповца (Вологодская область)  Алихан Динаев, абсолютный победитель Всероссийского конкурса «Учитель года России – 2018», народный учитель Чеченской Республики, учитель обществознания Математической школы № 1 имени Х.И. Ибрагимова города Грозного  Андрей Фатеев, первый заместитель министра общего и профессионального образования Ростовской области  Лариса Савина, председатель Комитета образования, науки и молодежной политики Волгоградской области  Инна Насикан, начальник Управления академической политики и контроля Армавирского государственного педагогического университета.  Модератор дискуссии – Александр Милкус, заведующий Лабораторией медиакоммуникаций в образовании НИУ «Высшая школа экономики», обозреватель ИД «Комсомольская правда».  Трансляция онлайн-программы будет доступна на площадке федерального портала «Российское образование» и в официальной группе Минпросвещения России в социальной сети «ВКонтакте».  «Образовательная среда» – еженедельная дискуссионная онлайн-программа о развитии российского образования. Она выходит в эфир каждую среду. Это онлайн-площадка для обсуждения наиболее актуальных вопросов в сфере образования, воспитания и науки, которая объединяет широкий круг экспертов: директоров школ и педагогов, руководителей и преподавателей педвузов, колледжей и техникумов, учреждений дополнительного образования, представителей региональных органов управления образованием.  Источник: www.edu.ru
0;КАДЕТЫ В ЛИТЕРАТУРНОМ МУЗЕЕ  В рамках программы объединения Гитарная песня в молодежном центре  Ровесник МБУ КМЦ Сфера создан литературный музей, где молодежь может познакомиться с творчеством бардов, авторов- исполнителей. Здесь есть фотографии В.С. Высоцкого, Б.Ш. Окуджавы. Интерес представляют и материалы,  связанные с развитием бардовского движения в нашем округе. На прошлой неделе в музее побывали кадеты из СОШ 2.  #мбукмцсфера #мцровесник #культураДмитров #гитарнаяпесня #Высоцкий #Окуджава #Дмитровские_барды #ПоэзияДмитровскогокрая #НашеПодмосковье #Дмитровскаямолодежь
0;Капля слюней тянулась изо рта прям до пола, после я втягивал ее и вся пыль, весь мусор вместе с волосами и крошками вчерашней пиццы оказывались у меня во рту. Несколько секунд спустя, после тщательных пережевываний они превращались в приятную кашицу, проглатывая которую волосы всегда оставались на половину во рту, наполовину в пищеводе, цепляясь за зубы и струной давили на корень языка. Меня тошнило, я блевал на пол. Рвота капала с носа и стекала вместе со слезами из красных глаз на пол. Я ждал, набирая полный рот слюней, легонько подталкивал их языком, наклонялся и они снова стикали на пол. После, я принимался начисто вылизывать пол, не оставляя ни волоска, ни капли слюны, а то что оставалось, я аккуратно вытирал салфеткой и засовывал ее себе в рот, прожевывал и глотал.
0;Засунь свою доброту и искренность куда подальше, и поступай с людьми так как они поступают с тобой. 💕🌸✨
0;На Пролетарской улице, вот уже несколько недель стала появляться собачка в ярком ошейнике. Собачка молодая на вид и явно бывшедомашняя, очень пуглива, при появлении сородичей убегает, к посторонним людям относиться тоже с большой осторожностью! Такой не адаптированный к уличной жизни пёс долго на улице не протянет😫 89065141143 - Екатерина (старому или новому хозяину окажу помощь в поиске и отлове собачки )
0;Доброй ночи не знаю сможет ли кто мне помочь я сам с России нужна помощь поиске одного человека Борисов Юрий Николаевич  живет в г. Новополоцк Молодёжная улица, д180 к2 кв61 если кто его знает помогите связаться в заранее благодарен.
0;_  🔔 - vk.com/topic-47989130_36792343 - ОПРОС - Хотели бы вы чтобы в вашей школе или другом УЗ-е проводили Уроки трезвости?    💡 vk.com/public47989130 - Проект Трезвый город - г. Королёв  ( ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ Подписаться каждому обязательно❗)  ⚠ vk.com/id18780164 - Пишите в личку мне те, кто хочет заняться делом, помочь или войти в наши ряды!  ⚡ vk.com/topic-47989130_27482271 - Содержание проекта  ➡ - https://vk.com/video-47989130_456239197 - Презентация - Проекта - Трезвый город - г. Королёв - 23.01.2021 г. - на Форуме активной молодежи _
0;Новшества в сфере образования в 2021 году    Приём детей в школы в 2021 году будет осуществляться по обновленным в сентябре прошлого года правилам. Заявления в первый класс начнут принимать 1 апреля (а не 1 февраля, как ранее) и завершится 30 июня для детей, проживающих на закреплённой территории, а также имеющих право на внеочередной, первоочередной и преимущественный приём. Приказ о приёме должен быть издан в течение 3-х рабочих дней после завершения приёма заявлений. Для детей, не проживающих на закреплённой территории, приём заявлений в первый класс начинается 6 июля (ранее - с 1 июля) до момента заполнения свободных мест, но не позднее 5 сентября текущего года.    С 1 января 2021 года вступили в силу санитарные правила СП 2.4.3648-20 «Санитарно-эпидемиологические требования к организациям воспитания и обучения, отдыха и оздоровления детей и молодежи», которые будут действовать до 2027 года. Правила и требования, которые должны соблюдаться при реализации образовательных программ с применением дистанционных образовательных технологий и электронного обучения следующие:  1) для образовательных целей не должны использоваться мобильные средства связи  2) использование ноутбуков обучающимися начальных классов возможно при наличии дополнительной клавиатуры  3) одновременное использование детьми на занятиях более двух различных ЭСО (интерактивная доска и персональный компьютер, интерактивная доска и планшет) не допускается  4) при использовании электронных средств обучения рабочее место должно быть организовано таким образом, чтобы обеспечивать ребенку зрительную дистанцию до экрана не менее 50 см. Планшеты должны размещаться на столах под углом наклона 30 градусов  5) обучение должно заканчиваться не позднее 18.00 часов. Продолжительность урока не должна превышать 40 минут  6) электронное оборудование необходимо ежедневно дезинфицировать.    С 1 января 2021 года действуют новые Санитарно-эпидемиологические требования к организации общественного питания населения (СанПиН 2.3/2.4.3590-20), одним из разделов которых установлены особенности организации общественного питания детей, в том числе в организациях, осуществляющих образовательную деятельность.  В частности, ими предусмотрено, что в эндемичных по недостатку отдельных микроэлементов регионах в меню должна использоваться специализированная пищевая продукция промышленного выпуска, обогащенные витаминами и микроэлементами, а также витаминизированные напитки промышленного выпуска. Замена витаминизации блюд выдачей детям поливитаминных препаратов не допускается. В целях профилактики йододефицитных состояний у детей должна использоваться соль поваренная пищевая йодированная при приготовлении блюд и кулинарных изделий.  В школьных буфетах по-прежнему запрещается продавать пирожные с кремом, карамель и леденцы, кофе, картофель-фри, квас, газировку, тонизирующие напитки, жевательную резинку и некоторые другие продукты. Кроме того, в обновленный перечень запрещенных продуктов вошли картофельные и кукурузные чипсы, снеки.  При организованных перевозках групп детей автомобильным, водным и другими видами транспорта и при проведении массовых мероприятий с участием детей менее 4 часов допускается использовать набор пищевой продукции «сухой паек», свыше 4 часов (за исключением ночного времени с 23.00 до 7.00) – должно быть организовано горячее питание.  Закреплены требования к организации питьевого режима. Предусмотрено, что при проведении массовых мероприятий длительностью более 2 часов каждый ребенок должен быть обеспечен дополнительно бутилированной питьевой (негазированной) водой промышленного производства, дневной запас которой во время мероприятия должен составлять не менее 1,5 литра на одного ребенка.4    «Коронавирусные» санитарно-эпидемиологические требования к организации работы образовательных организаций и других объектов социальной инфраструктуры для детей и молодежи (СП 3.1/2.4.3598-20) будут действовать до 1 января 2022 года:  1) закрепление за каждым классом отдельного учебного кабинета, в котором дети обучаются по всем предметам (исключение – физкультура, ИЗО, труд, физика, химия)  2) специально составленное расписание и график уроков и перемен, минимизирующее контакты обучающихся, в том числе во время проведения термометрии, приема пищи в столовой  3) обязательное проветривание рекреаций и коридоров помещений общеобразовательных организаций во время уроков, а учебных кабинетов – во время перемен.    С 1 января 2021 года вступил в силу новый Порядок заполнения, учета и выдачи аттестатов об основном общем и среднем общем образовании и их дубликатов. Им, в частности, предусмотрено, что допускается указывать по учебным предметам «Изобразительное искусство», «Музыка» и «Физическая культура» отметку «зачтено».    4 января 2021 года вступили в силу изменения в п. 12 Федерального государственного образовательного стандарта среднего общего образования. В частности, учебный предмет «Иностранный язык» исключен из числа обязательных учебных предметов, по которым проводится государственная итоговая аттестация по образовательным программам среднего общего образования (ранее предполагалось, что в обязательном порядке его начнут сдавать с 2022 года – после завершения полного перехода старшей школы на федеральные государственные образовательные стандарты общего образования).    Из-за сложной эпидемиологической обстановки экзамены у выпускников школ в 2021 году скорее всего будут проходить с некоторыми особенностями. О соответствующих решениях объявили в декабре Минпросвещения России и Рособрнадзор.  Итоговое сочинение для 11-классников пройдет 5 апреля 2021 года. А итоговое собеседование по русскому языку, которое является допуском к государственной итоговой аттестации для выпускников 9 классов, при сохранении неблагоприятной эпидемиологической обстановки, возможно, будет проведено в дистанционном формате. Подать заявление на участие в ГИА-11 нужно до 1 февраля 2021 года, на участие в ГИА-9 – до 1 марта 2021 года.    До 1 сентября 2021 года образовательные организации должны (если еще не сделали этого) утвердить примерные рабочие программы воспитания и примерный календарный план воспитательной работы и включить их в свои образовательные программы. В их разработке вправе принимать участие советы обучающихся, советы родителей, представительные органы обучающихся (при их наличии).    Кроме того, прием в вузы в этом году тоже будет проводиться по новым правилам: зачисление пройдет в одну «волну», а мониторить списки поступающих станет сложнее (вместо ФИО там укажут СНИЛС).
